# memory size (bytes)	cycles
1530000	7812
1531000	7812
1532000	7812
1533000	7812
1534000	7812
1535000	7812
1536000	7812
1537000	7812
1538000	9375
1539000	7812
1540000	7812
1541000	7812
1542000	7812
1543000	9375
1544000	7812
1545000	7812
1546000	7812
1547000	7812
1548000	7812
1549000	9375
1550000	7812
1551000	7812
1552000	7812
1553000	7812
1554000	9375
1555000	7812
1556000	7812
1557000	7812
1558000	9375
1559000	7812
1560000	7812
1561000	9375
1562000	7812
1563000	7812
1564000	9375
1565000	7812
1566000	7812
1567000	7812
1568000	9375
1569000	7812
1570000	7812
1571000	9375
1572000	7812
1573000	7812
1574000	7812
1575000	9375
1576000	7812
1577000	7812
1578000	9375
1579000	7812
1580000	7812
1581000	7812
1582000	9375
1583000	7812
1584000	9375
1585000	7812
1586000	7812
1587000	7812
1588000	9375
1589000	7812
1590000	9375
1591000	7812
1592000	7812
1593000	9375
1594000	7812
1595000	9375
1596000	7812
1597000	7812
1598000	9375
1599000	7812
1600000	7812
1601000	9375
1602000	7812
1603000	9375
1604000	7812
1605000	9375
1606000	7812
1607000	7812
1608000	9375
1609000	7812
1610000	9375
1611000	7812
1612000	9375
1613000	7812
1614000	7812
1615000	9375
1616000	7812
1617000	9375
1618000	9375
1619000	7812
1620000	9375
1621000	7812
1622000	7812
1623000	7812
1624000	7812
1625000	9375
1626000	7812
1627000	7812
1628000	9375
1629000	7812
1630000	9375
1631000	7812
1632000	9375
1633000	7812
1634000	7812
1635000	9375
1636000	7812
1637000	9375
1638000	7812
1639000	9375
1640000	7812
1641000	9375
1642000	7812
1643000	9375
1644000	7812
1645000	9375
1646000	9375
1647000	7812
1648000	9375
1649000	7812
1650000	7812
1651000	9375
1652000	7812
1653000	9375
1654000	7812
1655000	9375
1656000	9375
1657000	7812
1658000	9375
1659000	7812
1660000	9375
1661000	9375
1662000	7812
1663000	9375
1664000	9375
1665000	7812
1666000	9375
1667000	7812
1668000	9375
1669000	9375
1670000	7812
1671000	9375
1672000	7812
1673000	9375
1674000	9375
1675000	7812
1676000	9375
1677000	9375
1678000	7812
1679000	9375
1680000	7812
1681000	9375
1682000	9375
1683000	7812
1684000	9375
1685000	9375
1686000	7812
1687000	9375
1688000	7812
1689000	9375
1690000	7812
1691000	9375
1692000	7812
1693000	7812
1694000	9375
1695000	9375
1696000	9375
1697000	7812
1698000	9375
1699000	9375
1700000	7812
1701000	9375
1702000	9375
1703000	7812
1704000	9375
1705000	9375
1706000	7812
1707000	9375
1708000	9375
1709000	7812
1710000	9375
1711000	9375
1712000	9375
1713000	7812
1714000	9375
1715000	9375
1716000	9375
1717000	9375
1718000	7812
1719000	9375
1720000	9375
1721000	9375
1722000	9375
1723000	7812
1724000	9375
1725000	9375
1726000	9375
1727000	7812
1728000	7812
1729000	9375
1730000	9375
1731000	9375
1732000	9375
1733000	9375
1734000	9375
1735000	7812
1736000	9375
1737000	9375
1738000	9375
1739000	9375
1740000	9375
1741000	7812
1742000	9375
1743000	9375
